hidden_width,activation,similarity,learning_rate,init_scale,seed,forgetting,forward_transfer,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,flr_after_t1,flr_after_t2,regime_after_t1,regime_after_t2,subspace_dim,deviation_after_t1,deviation_after_t2,max_deviation_t1,max_deviation_t2,deviation_increase,alignment_after_t1,alignment_after_t2,weight_path_length_t1,weight_path_length_t2,overparameterization,total_params
32,gelu,0.0,0.05,0.5,0,0.40777675807476044,0.03999072313308716,0.13199855387210846,0.5397753119468689,0.14576618373394012,0.12829619646072388,0.2362673282623291,rich,rich,2,0.12231392713595372,0.158974116802223,0.2326180032152257,0.7289244538821343,0.036660189666269286,0.9926023092464871,0.9875983992632905,1.803554511629045,2.521597908809781,6.4,1760
32,gelu,0.0,0.05,0.5,1,0.556730791926384,-0.009501844644546509,0.16027189791202545,0.7170026898384094,0.14379289746284485,0.23271536827087402,0.2918453812599182,rich,rich,2,0.1005209860199464,0.18021214938451766,0.25515513199484663,0.9986345529384374,0.07969116336457126,0.9949855763254564,0.9841462658062147,2.3337750053033233,2.9030919894576073,6.4,1760
32,gelu,0.0,0.05,0.5,2,0.36405132710933685,0.03456047177314758,0.13951219618320465,0.5035635232925415,0.15804605185985565,0.21218746900558472,0.27261674404144287,rich,rich,2,0.14133605559837206,0.16536850826938743,0.3924401681281258,0.6870354126701795,0.024032452671015364,0.9901603059099975,0.9866012645557468,2.390394494868815,2.405348874628544,6.4,1760
32,gelu,0.0,0.05,0.5,3,0.40162111818790436,-0.04516753554344177,0.15910367667675018,0.5607247948646545,0.15745426714420319,0.18198490142822266,0.261735737323761,rich,rich,2,0.11958611751878745,0.18477027653770173,0.34204305222032305,0.9580583347709646,0.06518415901891428,0.9929255092558064,0.9833552955753352,2.4402846302837133,2.656765814870596,6.4,1760
32,gelu,0.0,0.05,0.5,4,0.3467414379119873,0.03659111261367798,0.14745840430259705,0.49419984221458435,0.14374814927577972,0.1874316930770874,0.27263450622558594,rich,rich,2,0.14055482503771435,0.1633876137068349,0.31744692096773225,0.4971017963064722,0.022832788669120557,0.9902668034068695,0.9869132841416419,2.3123588878661394,2.388715084642172,6.4,1760
32,gelu,0.0,0.05,1.0,0,0.4199429601430893,0.3961617350578308,0.1511128693819046,0.5710558295249939,0.16623727977275848,0.0535581111907959,0.08394330739974976,lazy,lazy,2,0.21383505690402266,0.183583023835649,0.3274361928920339,0.6030837159348875,-0.03025203306837365,0.977891949141903,0.9835627961393292,2.492459736764431,2.3999852165579796,6.4,1760
32,gelu,0.0,0.05,1.0,1,0.5979350805282593,-0.09540170431137085,0.17781752347946167,0.775752604007721,0.16841983795166016,0.07858550548553467,0.10255342721939087,lazy,rich,2,0.18659128967629818,0.2199793601719309,0.35902578796561607,0.8363113694445106,0.03338807049563272,0.9830332095379779,0.9766484289137822,2.8338701352477074,2.6322861053049564,6.4,1760
32,gelu,0.0,0.05,1.0,2,0.3906259685754776,0.18141889572143555,0.15653030574321747,0.5471562743186951,0.17728589475154877,0.07872414588928223,0.10008454322814941,lazy,rich,2,0.20478584346855702,0.19657474693734808,0.42048634173363264,0.6470561117625246,-0.008211096531208939,0.9796688452257813,0.9812212875575754,2.819349016994238,2.3115886859595776,6.4,1760
32,gelu,0.0,0.05,1.0,3,0.4636821299791336,-0.25217586755752563,0.17708145081996918,0.6407635807991028,0.17968253791332245,0.0703275203704834,0.09399312734603882,lazy,lazy,2,0.1776328625013535,0.21871896561412224,0.356154118894342,0.8574684548916289,0.04108610311276875,0.9845874464002439,0.9769063663876301,2.6485111378133297,2.498269610106945,6.4,1760
32,gelu,0.0,0.05,1.0,4,0.3424789607524872,0.264506459236145,0.1707712709903717,0.5132502317428589,0.1696394830942154,0.06487637758255005,0.09665435552597046,lazy,lazy,2,0.22174258268503597,0.17483867521851032,0.4137692657365169,0.5988894909238688,-0.046903907466525646,0.9762861841765931,0.9850581744372633,2.7978053353726864,2.3279966562986374,6.4,1760
32,gelu,0.0,0.05,2.0,0,0.3480479419231415,5.5370588302612305,0.19179633259773254,0.539844274520874,0.22910287976264954,0.03408306837081909,0.037892699241638184,lazy,lazy,2,0.5216440776836825,0.2159449529307956,0.5216440776836825,0.5216440776836825,-0.30569912475288685,0.8866198577951363,0.9774697277479525,6.005221351981163,1.952898047864437,6.4,1760
32,gelu,0.0,0.05,2.0,1,0.5267975181341171,-0.7326521873474121,0.23687495291233063,0.7636724710464478,0.23201018571853638,0.035671234130859375,0.03889948129653931,lazy,lazy,2,0.47670315393893725,0.23063876348123724,0.47670315393893725,0.4932119628757314,-0.2460643904577,0.9026806541392693,0.9744192002435347,5.681239828467369,2.1427264511585236,6.4,1760
32,gelu,0.0,0.05,2.0,2,0.3770926147699356,2.27797794342041,0.21361850202083588,0.5907111167907715,0.2248263657093048,0.03456461429595947,0.03866708278656006,lazy,lazy,2,0.4718665711524367,0.24109704786180905,0.4898277769944084,0.4718665711524367,-0.23076952329062764,0.9043727272913561,0.9721445498982592,5.458017751574516,1.9049898907542229,6.4,1760
32,gelu,0.0,0.05,2.0,3,0.42617830634117126,-2.4546117782592773,0.23932191729545593,0.6655002236366272,0.23985661566257477,0.03034079074859619,0.03427767753601074,lazy,lazy,2,0.46998344081787313,0.22926755225288936,0.51099032757436,0.4892278979722635,-0.24071588856498377,0.9050290392593573,0.9747102484862785,5.064627841114998,2.0054875165224075,6.4,1760
