alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
2.0,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.20929431915283203
0.0,0.0,0.1,0.1,0,0.19857589401203768,0.0,2.210364755228511e-06,0.1985781043767929,3.007401971899526e-07,0.18479394912719727
0.0,0.0,0.1,0.1,1,0.19465528578575686,0.0,1.4290112630988006e-06,0.19465671479701996,2.471509219503787e-07,0.225494384765625
0.0,0.0,0.1,0.1,2,0.19614003378171674,0.0,1.656234076108376e-06,0.19614169001579285,3.7578405454041786e-07,0.22113537788391113
0.0,0.0,0.1,0.1,3,0.2033370081950352,0.0,1.152915842794755e-06,0.203338161110878,2.477427756275574e-07,0.22054481506347656
0.0,0.0,0.1,0.1,4,0.19450107545742412,0.0,1.725245624584204e-06,0.1945028007030487,2.7116021783513133e-07,0.17494630813598633
0.25,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.1979062557220459
0.25,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.1809368133544922
0.25,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.21455788612365723
0.25,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.2237682342529297
0.25,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.2713179588317871
0.5,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.2472379207611084
0.5,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.16353893280029297
0.5,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.18630170822143555
0.5,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.20396971702575684
0.5,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.16077756881713867
