width,similarity,learning_rate,n_steps,seed,forgetting,forward_transfer,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,weight_change_t1,weight_change_t2,weight_change_total,effective_rank_init,effective_rank_final,weight_norm_init,weight_norm_final,overparameterization
50,0.0,0.001,100,0,-0.0010037422180175781,0.06507992744445801,0.9669758081436157,0.9659720659255981,0.962754487991333,0.06459657102823257,0.06274633854627609,0.12377661466598511,7.432255268096924,7.42503547668457,3.047625780105591,2.9276959896087646,5.0
50,0.0,0.001,100,1,-0.012259364128112793,0.049930691719055176,1.0809522867202759,1.068692922592163,1.0741047859191895,0.0672496110200882,0.06630106270313263,0.12993256747722626,7.396700859069824,7.387754440307617,3.203791618347168,3.0776619911193848,5.0
50,0.0,0.001,100,2,-0.021788954734802246,0.006951093673706055,1.013271689414978,0.9914827346801758,1.035884141921997,0.06462205201387405,0.06439289450645447,0.12546515464782715,7.685502052307129,7.6849589347839355,3.151082754135132,3.029324531555176,5.0
50,0.0,0.001,100,3,-0.03913235664367676,0.03945636749267578,1.0764249563217163,1.0372925996780396,1.0907362699508667,0.0671110674738884,0.06688074767589569,0.13046903908252716,7.628071308135986,7.615549087524414,3.220294713973999,3.093363046646118,5.0
50,0.0,0.001,100,4,-0.04277026653289795,0.05457878112792969,1.0547572374343872,1.0119869709014893,0.9973222613334656,0.0661262646317482,0.06462541222572327,0.12708061933517456,8.26790714263916,8.272035598754883,3.1014022827148438,2.978170156478882,5.0
50,0.0,0.001,500,0,-0.1391426920890808,0.1612173318862915,0.841799795627594,0.7026571035385132,0.7234383225440979,0.30530354380607605,0.2820160686969757,0.5696554183959961,7.432255268096924,7.422905445098877,3.047625780105591,2.4963295459747314,5.0
50,0.0,0.001,500,1,-0.17108917236328125,0.18981271982192993,0.9381586909294128,0.7670695185661316,0.7887166738510132,0.3214172124862671,0.2952217161655426,0.599713146686554,7.396700859069824,7.364051818847656,3.203791618347168,2.6216742992401123,5.0
50,0.0,0.001,500,2,-0.15334409475326538,0.1682201623916626,0.8894453048706055,0.7361012101173401,0.7399652004241943,0.3116416037082672,0.28511276841163635,0.5793442726135254,7.685502052307129,7.677828788757324,3.151082754135132,2.589538335800171,5.0
50,0.0,0.001,500,3,-0.14939594268798828,0.20913714170455933,0.9042708277702332,0.7548748850822449,0.8033429980278015,0.3213456869125366,0.2973414361476898,0.6018872261047363,7.628071308135986,7.570201396942139,3.220294713973999,2.6356754302978516,5.0
50,0.0,0.001,500,4,-0.17314058542251587,0.17239326238632202,0.9156598448753357,0.7425192594528198,0.753000795841217,0.3152129352092743,0.2859475314617157,0.5836431980133057,8.26790714263916,8.257908821105957,3.1014022827148438,2.535738706588745,5.0
50,0.0,0.001,1000,0,-0.1869257092475891,0.295047402381897,0.6876972317695618,0.5007715225219727,0.48628783226013184,0.5827547907829285,0.49339839816093445,1.0377659797668457,7.432255268096924,7.419289588928223,3.047625780105591,2.0505661964416504,5.0
50,0.0,0.001,1000,1,-0.2251373529434204,0.3483126163482666,0.7619376182556152,0.5368002653121948,0.5475829243659973,0.6104952692985535,0.5145705938339233,1.088584065437317,7.396700859069824,7.341991424560547,3.203791618347168,2.1539688110351562,5.0
50,0.0,0.001,1000,2,-0.2135404646396637,0.2929815649986267,0.7120916247367859,0.4985511600971222,0.5047165155410767,0.592994213104248,0.5007032752037048,1.0559741258621216,7.685502052307129,7.700757026672363,3.151082754135132,2.1341919898986816,5.0
50,0.0,0.001,1000,3,-0.2331218719482422,0.359638512134552,0.7651655077934265,0.5320436358451843,0.5550386905670166,0.6112335324287415,0.5185688734054565,1.0941468477249146,7.628071308135986,7.530886650085449,3.220294713973999,2.164647102355957,5.0
50,0.0,0.001,1000,4,-0.22128278017044067,0.32811373472213745,0.7380233407020569,0.5167405605316162,0.5085692405700684,0.5991729497909546,0.5000835657119751,1.0620347261428833,8.26790714263916,8.233654022216797,3.1014022827148438,2.0793378353118896,5.0
50,0.0,0.01,100,0,-0.17480987310409546,0.3290073275566101,0.6727113723754883,0.4979014992713928,0.49309971928596497,0.5906977653503418,0.4908279478549957,1.0404486656188965,7.432255268096924,7.3632354736328125,3.047625780105591,2.05230450630188,5.0
50,0.0,0.01,100,1,-0.20708811283111572,0.3474903106689453,0.7534316182136536,0.5463435053825378,0.5473766326904297,0.6152496337890625,0.518828272819519,1.0930652618408203,7.396700859069824,7.3100266456604,3.203791618347168,2.155045986175537,5.0
50,0.0,0.01,100,2,-0.1970905065536499,0.28657639026641846,0.7098464369773865,0.5127559304237366,0.5290922522544861,0.5918338298797607,0.5040584802627563,1.0554494857788086,7.685502052307129,7.694436073303223,3.151082754135132,2.1387975215911865,5.0
50,0.0,0.01,100,3,-0.22129476070404053,0.34484535455703735,0.7528387308120728,0.5315439701080322,0.5557107329368591,0.6142999529838562,0.5232373476028442,1.0973869562149048,7.628071308135986,7.495033264160156,3.220294713973999,2.164522886276245,5.0
50,0.0,0.01,100,4,-0.2135941982269287,0.3349185585975647,0.7348688840866089,0.5212746858596802,0.5052721500396729,0.6048994064331055,0.5044918060302734,1.0675410032272339,8.26790714263916,8.272907257080078,3.1014022827148438,2.0790088176727295,5.0
50,0.0,0.01,500,0,-0.025174014270305634,0.773176372051239,0.14016254246234894,0.1149885281920433,0.03694850206375122,2.0300004482269287,1.042711853981018,2.7357542514801025,7.432255268096924,7.887728214263916,3.047625780105591,0.7829123735427856,5.0
