similarity,learning_rate,n_steps,method,seed,memory_size,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,projection_count,destructive_count,mean_cos_angle,mean_grad_change,relative_time
1.0,0.05,500,scaling,0,10,-4.829810995943262e-05,0.0,4.900776912108995e-05,7.096591616573278e-07,6.988809673202923e-07,500,0,0.5743118678331375,0.5743118706758621,1.3401376316139226
1.0,0.05,500,none,1,10,-5.196649231287154e-05,0.0,5.196889105718583e-05,2.3987443142914344e-09,2.3338537769035383e-09,0,0,0.0,0.0,1.0
1.0,0.05,500,ogd,1,10,-6.702859536744654e-06,0.0,5.196889105718583e-05,4.5266031520441175e-05,4.368212103145197e-05,500,0,0.6159439072608948,0.21260038495647776,1.358855966498322
1.0,0.05,500,agem,1,10,-5.196649231287154e-05,0.0,5.196889105718583e-05,2.3987443142914344e-09,2.3338537769035383e-09,500,0,0.5672375417947769,0.0,1.4080327730818072
1.0,0.05,500,scaling,1,10,-5.121142004327339e-05,0.0,5.196889105718583e-05,7.574710139124363e-07,7.330784796977241e-07,500,0,0.5762061985731125,0.5762061976382986,1.3754177829023904
1.0,0.05,500,none,2,10,-5.157140107558966e-05,0.0,5.157375198905356e-05,2.3509134638999285e-09,2.4406929810538713e-09,0,0,0.0,0.0,1.0
1.0,0.05,500,ogd,2,10,-7.0951791713014245e-06,0.0,5.157375198905356e-05,4.447857281775214e-05,4.594213532982394e-05,500,0,0.6163562607765197,0.21281714354777193,1.6806586191567212
1.0,0.05,500,agem,2,10,-5.157140107558966e-05,0.0,5.157375198905356e-05,2.3509134638999285e-09,2.4406929810538713e-09,500,0,0.5709382778406143,0.0,1.3382655678281983
1.0,0.05,500,scaling,2,10,-5.080753606989674e-05,0.0,5.157375198905356e-05,7.662159191568207e-07,7.944825028971536e-07,500,0,0.5803425326347351,0.5803425330380071,1.243683958554184
1.0,0.05,500,none,3,10,-5.314191833560855e-05,0.0,5.3144543926464394e-05,2.6255908558425745e-09,2.56907761730929e-09,0,0,0.0,0.0,1.0
1.0,0.05,500,ogd,3,10,-5.799211066914722e-06,0.0,5.3144543926464394e-05,4.734533285954967e-05,4.668943438446149e-05,500,0,0.6155251902341843,0.21219996966027582,1.233146330185729
1.0,0.05,500,agem,3,10,-5.314191833560855e-05,0.0,5.3144543926464394e-05,2.6255908558425745e-09,2.56907761730929e-09,500,0,0.5677564129829407,0.0,1.0860076387088498
1.0,0.05,500,scaling,3,10,-5.2330642802189686e-05,0.0,5.3144543926464394e-05,8.139011242747074e-07,7.965699637679791e-07,500,0,0.5775056039094925,0.5775056042712611,1.150478287945647
1.0,0.05,500,none,4,10,-4.981688046346022e-05,0.0,4.981922756996937e-05,2.347106509148489e-09,2.3304798091317025e-09,0,0,0.0,0.0,1.0
1.0,0.05,500,ogd,4,10,-5.638521543005481e-06,0.0,4.981922756996937e-05,4.418070602696389e-05,4.29652827733662e-05,500,0,0.6160457904338836,0.21263610558166315,1.297159305605171
1.0,0.05,500,agem,4,10,-4.981688046346022e-05,0.0,4.981922756996937e-05,2.347106509148489e-09,2.3304798091317025e-09,500,0,0.5671405313014984,0.0,1.003961780170207
1.0,0.05,500,scaling,4,10,-4.907164759515581e-05,0.0,4.981922756996937e-05,7.475799748135614e-07,7.353838782364619e-07,500,0,0.5774915777444839,0.5774915796192238,1.087072757731726
1.0,0.05,500,none,0,50,-4.9005491853604255e-05,0.0,4.900776912108995e-05,2.2772674856952335e-09,2.2354285089676296e-09,0,0,0.0,0.0,1.1979694906744245
1.0,0.05,500,ogd,0,50,-2.6099951355718076e-07,0.0,4.900776912108995e-05,4.874676960753277e-05,4.788607475347817e-05,500,0,0.6207089067697525,0.21619422664023735,1.1917184754197616
1.0,0.05,500,agem,0,50,-4.9005491853604255e-05,0.0,4.900776912108995e-05,2.2772674856952335e-09,2.2354285089676296e-09,500,0,0.5997472960948944,0.0,1.2854541695586041
1.0,0.05,500,scaling,0,50,-4.797628923824959e-05,0.0,4.900776912108995e-05,1.0314798828403582e-06,1.0117723832081538e-06,500,0,0.6116081424951554,0.6116081432840234,1.5001048481179025
1.0,0.05,500,none,1,50,-5.196646686655981e-05,0.0,5.196889105718583e-05,2.424190626015843e-09,2.385681430183695e-09,0,0,0.0,0.0,1.2318774583677727
1.0,0.05,500,ogd,1,50,-1.6030026017688215e-06,0.0,5.196889105718583e-05,5.036588845541701e-05,4.9555168516235426e-05,500,0,0.6196533319950104,0.2153712835492632,1.6489455116583984
1.0,0.05,500,agem,1,50,-5.196646686655981e-05,0.0,5.196889105718583e-05,2.424190626015843e-09,2.385681430183695e-09,500,0,0.6021426018476487,0.0,1.6506260943978857
1.0,0.05,500,scaling,1,50,-5.08883019847417e-05,0.0,5.196889105718583e-05,1.080589072444127e-06,1.0642363577062497e-06,500,0,0.6121009882688523,0.61210098859631,1.6101683847675279
1.0,0.05,500,none,2,50,-5.1571407023498494e-05,0.0,5.157375198905356e-05,2.3449655550678017e-09,2.4292299283246166e-09,0,0,0.0,0.0,1.3820999897411346
1.0,0.05,500,ogd,2,50,-1.9749277271330357e-06,0.0,5.157375198905356e-05,4.959882426192053e-05,5.08465054736007e-05,500,0,0.6193278614282608,0.21507631508848735,1.6305868070991347
1.0,0.05,500,agem,2,50,-5.1571407023498494e-05,0.0,5.157375198905356e-05,2.3449655550678017e-09,2.4292299283246166e-09,500,0,0.6019084154367447,0.0,1.5230089252128716
1.0,0.05,500,scaling,2,50,-5.052587448517443e-05,0.0,5.157375198905356e-05,1.0478775038791355e-06,1.0787850897031603e-06,500,0,0.6113540078401566,0.6113540074475233,1.5015012139657353
1.0,0.05,500,none,3,50,-5.314202520811939e-05,0.0,5.3144543926464394e-05,2.5187183450015027e-09,2.506739926744217e-09,0,0,0.0,0.0,0.977551604048676
1.0,0.05,500,ogd,3,50,-1.1774463928304613e-06,0.0,5.3144543926464394e-05,5.196709753363393e-05,5.0918115448439494e-05,500,0,0.6195702756643295,0.21530184756921494,1.1818884021520952
1.0,0.05,500,agem,3,50,-5.314202520811939e-05,0.0,5.3144543926464394e-05,2.5187183450015027e-09,2.506739926744217e-09,500,0,0.6005254195928573,0.0,1.294040844908552
