method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
ewc,0.0,0.0,0.01,2,-0.041167207062244415,0.0,0.15054839849472046,0.10938119143247604,0.04457245022058487,0.0,0.0,0.23183178901672363
ewc,0.0,0.0,0.01,3,-0.024276673793792725,0.0,0.14365245401859283,0.11937578022480011,0.03939574584364891,0.0,0.0,0.2262427806854248
ewc,0.0,0.0,0.01,4,-0.03891945630311966,0.0,0.15742692351341248,0.11850746721029282,0.04079298675060272,0.0,0.0,0.19918394088745117
ewc,0.01,0.0,0.01,0,-0.027136079967021942,0.0,0.14282096922397614,0.1156848892569542,0.041790761053562164,1.5270169319871073e-05,3.5341607144800946e-05,0.25292110443115234
ewc,0.01,0.0,0.01,1,-0.0345272570848465,0.0,0.14401620626449585,0.10948894917964935,0.04207422211766243,1.548804247659469e-05,3.606187965488061e-05,0.23200416564941406
ewc,0.01,0.0,0.01,2,-0.04117529094219208,0.0,0.15054839849472046,0.10937310755252838,0.044589586555957794,1.6026414262072852e-05,3.726091017597355e-05,0.2705192565917969
ewc,0.01,0.0,0.01,3,-0.0242859348654747,0.0,0.14365245401859283,0.11936651915311813,0.03941069170832634,1.3864823575563512e-05,3.228428613510914e-05,0.25859761238098145
ewc,0.01,0.0,0.01,4,-0.038928426802158356,0.0,0.15742692351341248,0.11849849671125412,0.040811631828546524,1.7750110239503237e-05,4.1118142689811066e-05,0.24696826934814453
ewc,0.1,0.0,0.01,0,-0.027220599353313446,0.0,0.14282096922397614,0.11560036987066269,0.04193485155701637,0.00015244481014546718,0.0003526160435285419,0.2278883457183838
ewc,0.1,0.0,0.01,1,-0.03460254520177841,0.0,0.14401620626449585,0.10941366106271744,0.04222429171204567,0.00015461764146112512,0.00035979520180262625,0.2685277462005615
ewc,0.1,0.0,0.01,2,-0.041247762739658356,0.0,0.15054839849472046,0.1093006357550621,0.04474388435482979,0.0001599892195365653,0.00037174945464357734,0.29343676567077637
ewc,0.1,0.0,0.01,3,-0.024368934333324432,0.0,0.14365245401859283,0.1192835196852684,0.03954528644680977,0.00013841148036082096,0.0003221016377210617,0.252422571182251
ewc,0.1,0.0,0.01,4,-0.03900898993015289,0.0,0.15742692351341248,0.11841793358325958,0.0409795343875885,0.00017715778637726132,0.0004101116210222244,0.27681875228881836
ewc,1.0,0.0,0.01,0,-0.028043918311595917,0.0,0.14282096922397614,0.11477705091238022,0.04337998479604721,0.001499088224812965,0.0034474623389542103,0.26471519470214844
ewc,1.0,0.0,0.01,1,-0.03533408045768738,0.0,0.14401620626449585,0.10868212580680847,0.04372869431972504,0.001520225177240974,0.003516893833875656,0.28519153594970703
ewc,1.0,0.0,0.01,2,-0.04195079207420349,0.0,0.15054839849472046,0.10859760642051697,0.04629093036055565,0.0015727529124630309,0.0036329335998743773,0.2767782211303711
ewc,1.0,0.0,0.01,3,-0.025177091360092163,0.0,0.14365245401859283,0.11847536265850067,0.04089454188942909,0.0013607417945115828,0.003148097777739167,0.31726908683776855
ewc,1.0,0.0,0.01,4,-0.03978733718395233,0.0,0.15742692351341248,0.11763958632946014,0.0426640547811985,0.001737738313828757,0.003996087703853846,0.274411678314209
ewc,10.0,0.0,0.01,0,-0.034391552209854126,0.0,0.14282096922397614,0.10842941701412201,0.05804239958524704,0.012750943245373719,0.027748961001634598,0.2670783996582031
ewc,10.0,0.0,0.01,1,-0.040811970829963684,0.0,0.14401620626449585,0.10320423543453217,0.05893942713737488,0.012904114274309335,0.02821928635239601,0.24450278282165527
ewc,10.0,0.0,0.01,2,-0.04712889343500137,0.0,0.15054839849472046,0.10341950505971909,0.061950184404850006,0.013332326616307455,0.029109366238117218,0.22849345207214355
ewc,10.0,0.0,0.01,3,-0.03138769418001175,0.0,0.14365245401859283,0.11226475983858109,0.05453795939683914,0.011542607707245793,0.02524685114622116,0.2267627716064453
