method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
l2,100.0,0.2,0.05,0,inf,0.0,0.0005207724752835929,inf,inf,,,0.15639472007751465
l2,100.0,0.2,0.05,1,inf,0.0,0.00044594259816221893,inf,inf,,,0.14254283905029297
l2,100.0,0.2,0.05,2,inf,0.0,0.00048498500837013125,inf,inf,,,0.14771342277526855
l2,100.0,0.2,0.05,3,inf,0.0,0.0003858022391796112,inf,inf,,,0.13416504859924316
l2,100.0,0.2,0.05,4,inf,0.0,0.0005137648549862206,inf,inf,,,0.1305532455444336
ewc,0.0,0.2,0.05,0,0.1535615556058474,0.0,0.0005207724752835929,0.15408232808113098,6.759425741620362e-05,0.0,0.0,0.2391660213470459
ewc,0.0,0.2,0.05,1,0.15040979234618135,0.0,0.00044594259816221893,0.15085573494434357,6.267657590797171e-05,0.0,0.0,0.26297712326049805
ewc,0.0,0.2,0.05,2,0.15081250976072624,0.0,0.00048498500837013125,0.15129749476909637,7.928921695565805e-05,0.0,0.0,0.2910768985748291
ewc,0.0,0.2,0.05,3,0.1564607210457325,0.0,0.0003858022391796112,0.1568465232849121,6.944962660782039e-05,0.0,0.0,0.2106938362121582
ewc,0.0,0.2,0.05,4,0.14984759426442906,0.0,0.0005137648549862206,0.15036135911941528,6.571371341124177e-05,0.0,0.0,0.22604107856750488
ewc,0.01,0.2,0.05,0,0.15356122778030112,0.0,0.0005207724752835929,0.15408200025558472,6.759863754268736e-05,1.121426156928361e-07,1.5836774025501654e-07,0.29145050048828125
ewc,0.01,0.2,0.05,1,0.15040952412527986,0.0,0.00044594259816221893,0.15085546672344208,6.268063589232042e-05,9.87853861562256e-08,1.411498686820778e-07,0.4135124683380127
ewc,0.01,0.2,0.05,2,0.15081222663866356,0.0,0.00048498500837013125,0.1512972116470337,7.929412095109001e-05,1.0669876700720657e-07,1.5357616689470888e-07,0.33260393142700195
ewc,0.01,0.2,0.05,3,0.1564604677259922,0.0,0.0003858022391796112,0.15684626996517181,6.945324275875464e-05,8.194800009881861e-08,1.1755132334201335e-07,0.3860206604003906
ewc,0.01,0.2,0.05,4,0.14984722173539922,0.0,0.0005137648549862206,0.15036098659038544,6.57187556498684e-05,1.2431841366603718e-07,1.7653330530720268e-07,0.3583862781524658
ewc,0.1,0.2,0.05,0,0.1535584114608355,0.0,0.0005207724752835929,0.15407918393611908,6.763783312635496e-05,1.1214080983089346e-06,1.5836457123441505e-06,0.36595630645751953
ewc,0.1,0.2,0.05,1,0.1504069909278769,0.0,0.00044594259816221893,0.15085293352603912,6.271693564485759e-05,9.878389570984192e-07,1.4114721125224605e-06,0.3165102005004883
ewc,0.1,0.2,0.05,2,0.15080942522035912,0.0,0.00048498500837013125,0.15129441022872925,7.933840242912993e-05,1.0669709436222087e-06,1.5357311440311605e-06,0.2664213180541992
ewc,0.1,0.2,0.05,3,0.15645824745297432,0.0,0.0003858022391796112,0.15684404969215393,6.948567897779867e-05,8.194699786858439e-07,1.1754951856346452e-06,0.27703094482421875
ewc,0.1,0.2,0.05,4,0.1498440924915485,0.0,0.0005137648549862206,0.15035785734653473,6.576404848601669e-05,1.2431610878359533e-06,1.765291926858481e-06,0.27239489555358887
ewc,1.0,0.2,0.05,0,0.15353014395805076,0.0,0.0005207724752835929,0.15405091643333435,6.803122232668102e-05,1.1212272819983493e-05,1.5833267752896063e-05,0.25330591201782227
ewc,1.0,0.2,0.05,1,0.15038150994223543,0.0,0.00044594259816221893,0.15082745254039764,6.30818831268698e-05,9.876894742618436e-06,1.411204539181199e-05,0.2514383792877197
ewc,1.0,0.2,0.05,2,0.1507813961361535,0.0,0.00048498500837013125,0.15126638114452362,7.978278154041618e-05,1.0668031614971651e-05,1.5354273273260333e-05,0.27315735816955566
ewc,1.0,0.2,0.05,3,0.15643594041466713,0.0,0.0003858022391796112,0.15682174265384674,6.981042679399252e-05,8.193693926281221e-06,1.175313718704274e-05,0.2815530300140381
ewc,1.0,0.2,0.05,4,0.14981291926233098,0.0,0.0005137648549862206,0.1503266841173172,6.621845386689529e-05,1.2429301834150585e-05,1.7648801076575182e-05,0.2590761184692383
ewc,10.0,0.2,0.05,0,0.1532478712615557,0.0,0.0005207724752835929,0.1537686437368393,7.210723561001942e-05,0.00011194217172291942,0.0001580145617481321,0.2860219478607178
ewc,10.0,0.2,0.05,1,0.15012722162646241,0.0,0.00044594259816221893,0.15057316422462463,6.684981781290844e-05,9.86196884227013e-05,0.00014085341535974294,0.303131103515625
ewc,10.0,0.2,0.05,2,0.15050182054983452,0.0,0.00048498500837013125,0.15098680555820465,8.43606103444472e-05,0.0001065127655999838,0.00015323924890253693,0.29307031631469727
ewc,10.0,0.2,0.05,3,0.1562131680548191,0.0,0.0003858022391796112,0.15659897029399872,7.313839887501672e-05,8.183647944127336e-05,0.00011735024600056931,0.2993748188018799
ewc,10.0,0.2,0.05,4,0.1495016340049915,0.0,0.0005137648549862206,0.15001539885997772,7.094387547113001e-05,0.00012406253201202588,0.0001760771410772577,0.30046939849853516
ewc,100.0,0.2,0.05,0,0.15047160611720756,0.0,0.0005207724752835929,0.15099237859249115,0.00012673044693656266,0.0011016196695923385,0.001548891537822783,0.32645463943481445
ewc,100.0,0.2,0.05,1,0.1476236328308005,0.0,0.00044594259816221893,0.1480695754289627,0.00011613933020271361,0.0009714701409056374,0.0013822767650708556,0.373396635055542
ewc,100.0,0.2,0.05,2,0.1477506787632592,0.0,0.00048498500837013125,0.14823566377162933,0.0001431688287993893,0.0010485989745604059,0.001502561499364674,0.3225538730621338
ewc,100.0,0.2,0.05,3,0.154013741761446,0.0,0.0003858022391796112,0.1543995440006256,0.00011426863784436136,0.0008084272067702045,0.0011556354584172368,0.3089454174041748
ewc,100.0,0.2,0.05,4,0.1464479539426975,0.0,0.0005137648549862206,0.14696171879768372,0.00013592059258371592,0.0012179639861249426,0.0017205527983605862,0.32996559143066406
none,0.0,0.2,0.1,0,0.15895488358933108,0.0,2.210364755228511e-06,0.1589570939540863,2.3643929125682916e-07,0.0,0.0,0.24035000801086426
none,0.0,0.2,0.1,1,0.15577542931850985,0.0,1.4290112630988006e-06,0.15577685832977295,1.9552076935269724e-07,0.0,0.0,0.25354957580566406
none,0.0,0.2,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941356456176436e-07,0.0,0.0,0.25965094566345215
none,0.0,0.2,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.9657646532778017e-07,0.0,0.0,0.2700064182281494
none,0.0,0.2,0.1,4,0.15521198840031047,0.0,1.725245624584204e-06,0.15521371364593506,2.1895503721225396e-07,0.0,0.0,0.23891997337341309
l2,0.0,0.2,0.1,0,0.15895488358933108,0.0,2.210364755228511e-06,0.1589570939540863,2.3643929125682916e-07,0.0,0.0,0.27583837509155273
l2,0.0,0.2,0.1,1,0.15577542931850985,0.0,1.4290112630988006e-06,0.15577685832977295,1.9552076935269724e-07,0.0,0.0,0.21630406379699707
l2,0.0,0.2,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941356456176436e-07,0.0,0.0,0.2231290340423584
l2,0.0,0.2,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.9657646532778017e-07,0.0,0.0,0.2334895133972168
l2,0.0,0.2,0.1,4,0.15521198840031047,0.0,1.725245624584204e-06,0.15521371364593506,2.1895503721225396e-07,0.0,0.0,0.23766160011291504
l2,0.01,0.2,0.1,0,0.14320378996330874,0.0,2.210364755228511e-06,0.14320600032806396,0.0003929599770344794,0.006105378261402165,0.007190649397671223,0.2638990879058838
l2,0.01,0.2,0.1,1,0.1399369254809244,0.0,1.4290112630988006e-06,0.1399383544921875,0.00039974538958631456,0.006070852155917236,0.007176919374614954,0.26455211639404297
l2,0.01,0.2,0.1,2,0.14051098901052228,0.0,1.656234076108376e-06,0.1405126452445984,0.0004118005163036287,0.006023378950903407,0.0071549322456121445,0.2264420986175537
l2,0.01,0.2,0.1,3,0.14555447741042826,0.0,1.152915842794755e-06,0.14555563032627106,0.00040557055035606027,0.006047623654830204,0.007167048752307892,0.28261327743530273
l2,0.01,0.2,0.1,4,0.13963038058170696,0.0,1.725245624584204e-06,0.13963210582733154,0.00039570924127474427,0.006090661989550881,0.007183991372585297,0.25301170349121094
l2,0.1,0.2,0.1,0,0.0696182573576607,0.0,2.210364755228511e-06,0.06962046772241592,0.017563816159963608,0.031527488236897626,0.03493000566959381,0.23532533645629883
l2,0.1,0.2,0.1,1,0.06666016728695467,0.0,1.4290112630988006e-06,0.06666159629821777,0.017767760902643204,0.030865094842629334,0.034284334629774094,0.25302863121032715
l2,0.1,0.2,0.1,2,0.0662706248762106,0.0,1.656234076108376e-06,0.06627228111028671,0.017877520993351936,0.030294390646471582,0.03370126336812973,0.259706974029541
l2,0.1,0.2,0.1,3,0.0689964388180897,0.0,1.152915842794755e-06,0.0689975917339325,0.017822522670030594,0.03058611276818556,0.03399839997291565,0.27387237548828125
l2,0.1,0.2,0.1,4,0.0672522816170158,0.0,1.725245624584204e-06,0.06725400686264038,0.017628008499741554,0.03128703113145457,0.034692224115133286,0.2515547275543213
l2,1.0,0.2,0.1,0,0.004844749475751087,0.0,2.210364755228511e-06,0.004846959840506315,0.11010900884866714,0.023677753188298085,0.024253003299236298,0.2420024871826172
l2,1.0,0.2,0.1,1,0.004428420784734044,0.0,1.4290112630988006e-06,0.004429849795997143,0.10797600448131561,0.022243055038969034,0.022788574919104576,0.25864386558532715
l2,1.0,0.2,0.1,2,0.004339046433756266,0.0,1.656234076108376e-06,0.004340702667832375,0.10624060034751892,0.021482275700429456,0.02201077900826931,0.2383711338043213
l2,1.0,0.2,0.1,3,0.004538448588959909,0.0,1.152915842794755e-06,0.004539601504802704,0.10713911056518555,0.02189432904252317,0.02243199199438095,0.27217745780944824
l2,1.0,0.2,0.1,4,0.004603773850590187,0.0,1.725245624584204e-06,0.004605499096214771,0.10934562981128693,0.023235366345208605,0.02380114607512951,0.23529791831970215
l2,10.0,0.2,0.1,0,7.242346896418894e-05,0.0,2.210364755228511e-06,7.463383371941745e-05,0.15722976624965668,0.003556757497601211,0.0035635381937026978,0.23262262344360352
l2,10.0,0.2,0.1,1,6.504669863716117e-05,0.0,1.4290112630988006e-06,6.647570990025997e-05,0.15210561454296112,0.0032878203401342032,0.0032941033132374287,0.2496500015258789
l2,10.0,0.2,0.1,2,6.30123171276864e-05,0.0,1.656234076108376e-06,6.466855120379478e-05,0.14881762862205505,0.0031583971539512275,0.0031644380651414394,0.22250008583068848
l2,10.0,0.2,0.1,3,6.609291779113846e-05,0.0,1.152915842794755e-06,6.724583363393322e-05,0.1505580097436905,0.0032286748713813724,0.003234847681596875,0.2750065326690674
l2,10.0,0.2,0.1,4,6.872303526961332e-05,0.0,1.725245624584204e-06,7.044828089419752e-05,0.15555286407470703,0.0034775148136541247,0.0034841480664908886,0.2638587951660156
l2,100.0,0.2,0.1,0,inf,0.0,2.210364755228511e-06,inf,inf,,,0.09364032745361328
l2,100.0,0.2,0.1,1,inf,0.0,1.4290112630988006e-06,inf,inf,,,0.10128068923950195
l2,100.0,0.2,0.1,2,inf,0.0,1.656234076108376e-06,inf,inf,,,0.09863686561584473
l2,100.0,0.2,0.1,3,inf,0.0,1.152915842794755e-06,inf,inf,,,0.07753324508666992
l2,100.0,0.2,0.1,4,inf,0.0,1.725245624584204e-06,inf,inf,,,0.09321069717407227
ewc,0.0,0.2,0.1,0,0.15895488358933108,0.0,2.210364755228511e-06,0.1589570939540863,2.3643929125682916e-07,0.0,0.0,0.2048351764678955
ewc,0.0,0.2,0.1,1,0.15577542931850985,0.0,1.4290112630988006e-06,0.15577685832977295,1.9552076935269724e-07,0.0,0.0,0.23356413841247559
ewc,0.0,0.2,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941356456176436e-07,0.0,0.0,0.19111204147338867
ewc,0.0,0.2,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.9657646532778017e-07,0.0,0.0,0.199432373046875
ewc,0.0,0.2,0.1,4,0.15521198840031047,0.0,1.725245624584204e-06,0.15521371364593506,2.1895503721225396e-07,0.0,0.0,0.18469810485839844
ewc,0.01,0.2,0.1,0,0.1589548537870087,0.0,2.210364755228511e-06,0.15895706415176392,2.364397033716159e-07,5.706833832075831e-10,6.789005468910148e-10,0.28119421005249023
ewc,0.01,0.2,0.1,1,0.15577542931850985,0.0,1.4290112630988006e-06,0.15577685832977295,1.9552165042568959e-07,4.061553157605469e-10,4.866981262452441e-10,0.26168107986450195
ewc,0.01,0.2,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941370382814057e-07,4.729877802846553e-10,5.691765392334958e-10,0.2514066696166992
ewc,0.01,0.2,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.965772327139348e-07,3.1575971095679506e-10,3.788869495924274e-10,0.22861719131469727
ewc,0.01,0.2,0.1,4,0.15521198840031047,0.0,1.725245624584204e-06,0.15521371364593506,2.1895625934575946e-07,5.25897085484645e-10,6.284077702645163e-10,0.29340648651123047
ewc,0.1,0.2,0.1,0,0.1589548537870087,0.0,2.210364755228511e-06,0.15895706415176392,2.364473630223074e-07,5.706833548547313e-09,6.789004913798635e-09,0.2805190086364746
ewc,0.1,0.2,0.1,1,0.15577539951618746,0.0,1.4290112630988006e-06,0.15577682852745056,1.9552705055048136e-07,4.061553052170114e-09,4.866981040407836e-09,0.2944760322570801
ewc,0.1,0.2,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941451953120122e-07,4.7298776222467685e-09,5.691765281312655e-09,0.2758057117462158
ewc,0.1,0.2,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.9658149597034935e-07,3.157597103144649e-09,3.788869218368518e-09,0.2941467761993408
ewc,0.1,0.2,0.1,4,0.15521197349914928,0.0,1.725245624584204e-06,0.15521369874477386,2.1896332214055292e-07,5.2589706094141945e-09,6.284076814466744e-09,0.28702282905578613
ewc,1.0,0.2,0.1,0,0.15895471967655794,0.0,2.210364755228511e-06,0.15895693004131317,2.3652712854982383e-07,5.706828607869585e-08,6.788997808371278e-08,0.2539196014404297
ewc,1.0,0.2,0.1,1,0.1557753101092203,0.0,1.4290112630988006e-06,0.1557767391204834,1.9558440556011192e-07,4.061550261022159e-08,4.8669772212406315e-08,0.2395646572113037
ewc,1.0,0.2,0.1,2,0.15674401599187604,0.0,1.656234076108376e-06,0.15674567222595215,2.942293804153451e-07,4.729874012206897e-08,5.691760307513505e-08,0.2511932849884033
ewc,1.0,0.2,0.1,3,0.16217757208835337,0.0,1.152915842794755e-06,0.16217872500419617,1.966273401876606e-07,3.157595528281362e-08,3.7888671755581527e-08,0.2370307445526123
ewc,1.0,0.2,0.1,4,0.15521185428985973,0.0,1.725245624584204e-06,0.15521357953548431,2.1904003233430558e-07,5.2589661766948984e-08,6.2840712189427e-08,0.2880535125732422
ewc,10.0,0.2,0.1,0,0.15895342327553408,0.0,2.210364755228511e-06,0.1589556336402893,2.373294449853347e-07,5.706779645329174e-07,6.788931727896852e-07,0.24760699272155762
ewc,10.0,0.2,0.1,1,0.1557743564349039,0.0,1.4290112630988006e-06,0.155775785446167,1.9615653457094595e-07,4.0615233816890253e-07,4.866940344072646e-07,0.25489091873168945
ewc,10.0,0.2,0.1,2,0.1567428835036253,0.0,1.656234076108376e-06,0.15674453973770142,2.95065376576531e-07,4.7298383414712266e-07,5.691711066901917e-07,0.22092390060424805
ewc,10.0,0.2,0.1,3,0.1621767972279713,0.0,1.152915842794755e-06,0.1621779501438141,1.9709202092599298e-07,3.15758044436093e-07,3.788846640873089e-07,0.25574636459350586
ewc,10.0,0.2,0.1,4,0.15521064729580303,0.0,1.725245624584204e-06,0.1552123725414276,2.1981438180773694e-07,5.258922777558461e-07,6.284012101787084e-07,0.24681496620178223
ewc,100.0,0.2,0.1,0,0.15894035495716707,0.0,2.210364755228511e-06,0.1589425653219223,2.4567370360273344e-07,5.7062905087801315e-06,6.788272457924904e-06,0.27176570892333984
ewc,100.0,0.2,0.1,1,0.15576476008709506,0.0,1.4290112630988006e-06,0.15576618909835815,2.0205118289595703e-07,4.061254338152854e-06,4.86657336296048e-06,0.2428450584411621
ewc,100.0,0.2,0.1,2,0.1567315288187956,0.0,1.656234076108376e-06,0.1567331850528717,3.0366439318640914e-07,4.729481924725664e-06,5.6912190302682575e-06,0.24927139282226562
ewc,100.0,0.2,0.1,3,0.1621690188218281,0.0,1.152915842794755e-06,0.1621701717376709,2.0183739479762153e-07,3.1574297328684776e-06,3.7886402424192056e-06,0.3126072883605957
ewc,100.0,0.2,0.1,4,0.15519865186104198,0.0,1.725245624584204e-06,0.15520037710666656,2.2785184228268918e-07,5.258488956041418e-06,6.283418770181015e-06,0.2558784484863281
none,0.0,0.4,0.01,0,-0.0641835406422615,0.0,0.14282096922397614,0.07863742858171463,0.03458508476614952,0.0,0.0,0.20607233047485352
none,0.0,0.4,0.01,1,-0.06930341571569443,0.0,0.14401620626449585,0.07471279054880142,0.0346376933157444,0.0,0.0,0.23561525344848633
none,0.0,0.4,0.01,2,-0.07665569335222244,0.0,0.15054839849472046,0.07389270514249802,0.03726735711097717,0.0,0.0,0.1859445571899414
none,0.0,0.4,0.01,3,-0.06308703869581223,0.0,0.14365245401859283,0.08056541532278061,0.03323547542095184,0.0,0.0,0.24326682090759277
none,0.0,0.4,0.01,4,-0.07585066556930542,0.0,0.15742692351341248,0.08157625794410706,0.03449506685137749,0.0,0.0,0.21351313591003418
l2,0.0,0.4,0.01,0,-0.0641835406422615,0.0,0.14282096922397614,0.07863742858171463,0.03458508476614952,0.0,0.0,0.20012402534484863
l2,0.0,0.4,0.01,1,-0.06930341571569443,0.0,0.14401620626449585,0.07471279054880142,0.0346376933157444,0.0,0.0,0.19163894653320312
l2,0.0,0.4,0.01,2,-0.07665569335222244,0.0,0.15054839849472046,0.07389270514249802,0.03726735711097717,0.0,0.0,0.21877193450927734
l2,0.0,0.4,0.01,3,-0.06308703869581223,0.0,0.14365245401859283,0.08056541532278061,0.03323547542095184,0.0,0.0,0.2131657600402832
l2,0.0,0.4,0.01,4,-0.07585066556930542,0.0,0.15742692351341248,0.08157625794410706,0.03449506685137749,0.0,0.0,0.24551773071289062
l2,0.01,0.4,0.01,0,-0.06463053077459335,0.0,0.14282096922397614,0.07819043844938278,0.03688517585396767,0.002107618612210146,0.004833877086639404,0.2598567008972168
l2,0.01,0.4,0.01,1,-0.06966379284858704,0.0,0.14401620626449585,0.07435241341590881,0.036963678896427155,0.0021148115453852724,0.004859801847487688,0.24602150917053223
l2,0.01,0.4,0.01,2,-0.07695970684289932,0.0,0.15054839849472046,0.07358869165182114,0.039716701954603195,0.0022235870794064423,0.005110559519380331,0.2509920597076416
l2,0.01,0.4,0.01,3,-0.06345668435096741,0.0,0.14365245401859283,0.08019576966762543,0.03536716848611832,0.00190851342989491,0.004398596007376909,0.23870563507080078
l2,0.01,0.4,0.01,4,-0.07607271522283554,0.0,0.15742692351341248,0.08135420829057693,0.03683308884501457,0.002152092726896022,0.004933223128318787,0.2627379894256592
l2,0.1,0.4,0.01,0,-0.06562282890081406,0.0,0.14282096922397614,0.07719814032316208,0.057837292551994324,0.016259626700796503,0.03412242606282234,0.20427298545837402
l2,0.1,0.4,0.01,1,-0.0699581503868103,0.0,0.14401620626449585,0.07405805587768555,0.05812051519751549,0.01630735382980629,0.034283824265003204,0.2463364601135254
l2,0.1,0.4,0.01,2,-0.07669801265001297,0.0,0.15054839849472046,0.07385038584470749,0.061985962092876434,0.01714569146274641,0.03605077788233757,0.23619890213012695
l2,0.1,0.4,0.01,3,-0.06398188322782516,0.0,0.14365245401859283,0.07967057079076767,0.05468946695327759,0.014707103753997558,0.03099994733929634,0.2665548324584961
l2,0.1,0.4,0.01,4,-0.07530698925256729,0.0,0.15742692351341248,0.08211993426084518,0.058156780898571014,0.01660396185761215,0.03483041375875473,0.24045109748840332
l2,1.0,0.4,0.01,0,-0.034448444843292236,0.0,0.14282096922397614,0.1083725243806839,0.17489278316497803,0.028353097833160062,0.03727424889802933,0.251629114151001
l2,1.0,0.4,0.01,1,-0.03599673509597778,0.0,0.14401620626449585,0.10801947116851807,0.1757955253124237,0.02835356599219449,0.037293728440999985,0.24461865425109863
l2,1.0,0.4,0.01,2,-0.03902703523635864,0.0,0.15054839849472046,0.11152136325836182,0.1857406198978424,0.029807791379867922,0.039207182824611664,0.3206303119659424
l2,1.0,0.4,0.01,3,-0.033111631870269775,0.0,0.14365245401859283,0.11054082214832306,0.1612134575843811,0.02548081185423962,0.03353465348482132,0.27181315422058105
l2,1.0,0.4,0.01,4,-0.037786565721035004,0.0,0.15742692351341248,0.11964035779237747,0.17760293185710907,0.028955526215836472,0.03806712478399277,0.26232051849365234
l2,10.0,0.4,0.01,0,-0.004803165793418884,0.0,0.14282096922397614,0.13801780343055725,0.24732616543769836,0.005291917224938516,0.005448661744594574,0.29109644889831543
l2,10.0,0.4,0.01,1,-0.004991456866264343,0.0,0.14401620626449585,0.1390247493982315,0.24822194874286652,0.005278210482007125,0.005434585735201836,0.2987489700317383
l2,10.0,0.4,0.01,2,-0.005407541990280151,0.0,0.15054839849472046,0.1451408565044403,0.26188114285469055,0.005548073463374749,0.005712446756660938,0.348405122756958
l2,10.0,0.4,0.01,3,-0.004594728350639343,0.0,0.14365245401859283,0.1390577256679535,0.22629550099372864,0.00473057176200382,0.004870754666626453,0.30347251892089844
l2,10.0,0.4,0.01,4,-0.005215883255004883,0.0,0.15742692351341248,0.1522110402584076,0.2515714466571808,0.005401175582235737,0.0055611697025597095,0.32071447372436523
l2,100.0,0.4,0.01,0,-0.000498652458190918,0.0,0.14282096922397614,0.14232231676578522,0.25721558928489685,0.0005674388250336051,0.0005685705109499395,0.31937074661254883
l2,100.0,0.4,0.01,1,-0.0005178451538085938,0.0,0.14401620626449585,0.14349836111068726,0.25808507204055786,0.0005657496333587915,0.0005668780067935586,0.3669271469116211
l2,100.0,0.4,0.01,2,-0.0005609989166259766,0.0,0.15054839849472046,0.14998739957809448,0.27224844694137573,0.0005946514015085996,0.000595837424043566,0.34153175354003906
l2,100.0,0.4,0.01,3,-0.0004767179489135742,0.0,0.14365245401859283,0.14317573606967926,0.23513464629650116,0.0005068549064453691,0.0005078658577986062,0.3471364974975586
l2,100.0,0.4,0.01,4,-0.0005409121513366699,0.0,0.15742692351341248,0.1568860113620758,0.2616647779941559,0.0005790683714440092,0.0005802232190035284,0.3208632469177246
ewc,0.0,0.4,0.01,0,-0.0641835406422615,0.0,0.14282096922397614,0.07863742858171463,0.03458508476614952,0.0,0.0,0.3417665958404541
ewc,0.0,0.4,0.01,1,-0.06930341571569443,0.0,0.14401620626449585,0.07471279054880142,0.0346376933157444,0.0,0.0,0.308826208114624
ewc,0.0,0.4,0.01,2,-0.07665569335222244,0.0,0.15054839849472046,0.07389270514249802,0.03726735711097717,0.0,0.0,0.22766423225402832
ewc,0.0,0.4,0.01,3,-0.06308703869581223,0.0,0.14365245401859283,0.08056541532278061,0.03323547542095184,0.0,0.0,0.23375821113586426
ewc,0.0,0.4,0.01,4,-0.07585066556930542,0.0,0.15742692351341248,0.08157625794410706,0.03449506685137749,0.0,0.0,0.23997998237609863
ewc,0.01,0.4,0.01,0,-0.06418592482805252,0.0,0.14282096922397614,0.07863504439592361,0.03459838405251503,1.26139859853584e-05,2.923542524513323e-05,0.2765789031982422
ewc,0.01,0.4,0.01,1,-0.06930527836084366,0.0,0.14401620626449585,0.07471092790365219,0.03465166687965393,1.3106484277108255e-05,3.045762969122734e-05,0.2518012523651123
ewc,0.01,0.4,0.01,2,-0.0766572654247284,0.0,0.15054839849472046,0.07389113306999207,0.03728188946843147,1.3689073860285672e-05,3.177344842697494e-05,0.2524380683898926
ewc,0.01,0.4,0.01,3,-0.06308916956186295,0.0,0.14365245401859283,0.08056328445672989,0.033248115330934525,1.1751287430772029e-05,2.734347799560055e-05,0.2564833164215088
ewc,0.01,0.4,0.01,4,-0.07585205882787704,0.0,0.15742692351341248,0.08157486468553543,0.03451095521450043,1.5133435997642885e-05,3.504911364871077e-05,0.2573561668395996
ewc,0.1,0.4,0.01,0,-0.0642073005437851,0.0,0.14282096922397614,0.07861366868019104,0.03471813350915909,0.00012592640380451757,0.0002916883386205882,0.24924635887145996
ewc,0.1,0.4,0.01,1,-0.06932185590267181,0.0,0.14401620626449585,0.07469435036182404,0.03477754071354866,0.00013084158886098195,0.0003038779541384429,0.284862756729126
ewc,0.1,0.4,0.01,2,-0.07667113095521927,0.0,0.15054839849472046,0.07387726753950119,0.03741271793842316,0.0001366545312255014,0.0003169971168972552,0.284548282623291
ewc,0.1,0.4,0.01,3,-0.06310821324586868,0.0,0.14365245401859283,0.08054424077272415,0.03336188942193985,0.00011731135532345461,0.00027280449285171926,0.3558638095855713
ewc,0.1,0.4,0.01,4,-0.07586435973644257,0.0,0.15742692351341248,0.08156256377696991,0.03465396165847778,0.00015103987853461743,0.00034957376192323864,0.32200002670288086
ewc,1.0,0.4,0.01,0,-0.06440777331590652,0.0,0.14282096922397614,0.07841319590806961,0.03591896593570709,0.001238193989846728,0.002851382363587618,0.29497694969177246
ewc,1.0,0.4,0.01,1,-0.06947416812181473,0.0,0.14401620626449585,0.07454203814268112,0.03603958711028099,0.001286370106049162,0.0029700491577386856,0.29979634284973145
ewc,1.0,0.4,0.01,2,-0.07679593563079834,0.0,0.15054839849472046,0.07375246286392212,0.038724638521671295,0.0013432292744147319,0.003097445471212268,0.3189723491668701
ewc,1.0,0.4,0.01,3,-0.06328552961349487,0.0,0.14365245401859283,0.08036692440509796,0.0345025435090065,0.001153220043481177,0.002666040090844035,0.27776503562927246
ewc,1.0,0.4,0.01,4,-0.07597032189369202,0.0,0.15742692351341248,0.08145660161972046,0.03608874976634979,0.0014813763734272882,0.003405687864869833,0.29408884048461914
ewc,10.0,0.4,0.01,0,-0.06529766321182251,0.0,0.14282096922397614,0.07752330601215363,0.04809020832180977,0.010522889544511088,0.022923694923520088,0.2920260429382324
ewc,10.0,0.4,0.01,1,-0.06985938549041748,0.0,0.14401620626449585,0.07415682077407837,0.04881445690989494,0.010912435099798074,0.023811833932995796,0.2644782066345215
ewc,10.0,0.4,0.01,2,-0.07688595354557037,0.0,0.15054839849472046,0.07366244494915009,0.052016645669937134,0.011376357987109544,0.02478906884789467,0.25316357612609863
ewc,10.0,0.4,0.01,3,-0.06394927203655243,0.0,0.14365245401859283,0.0797031819820404,0.04604155942797661,0.009775697881605878,0.021362632513046265,0.263378381729126
ewc,10.0,0.4,0.01,4,-0.07565031200647354,0.0,0.15742692351341248,0.08177661150693893,0.050648219883441925,0.012290890773567185,0.026513971388339996,0.285351037979126
ewc,100.0,0.4,0.01,0,-0.04652080684900284,0.0,0.14282096922397614,0.0963001623749733,0.1379937082529068,0.03144704681037274,0.04809349775314331,0.29929089546203613
ewc,100.0,0.4,0.01,1,-0.0473073273897171,0.0,0.14401620626449585,0.09670887887477875,0.14197075366973877,0.03158667514958734,0.04767860844731331,0.26500988006591797
ewc,100.0,0.4,0.01,2,-0.05214507877826691,0.0,0.15054839849472046,0.09840331971645355,0.14894796907901764,0.03308549417426366,0.050233833491802216,0.28699326515197754
ewc,100.0,0.4,0.01,3,-0.0441548153758049,0.0,0.14365245401859283,0.09949763864278793,0.12994027137756348,0.028402868586639214,0.04310998320579529,0.2706270217895508
