hidden_width,activation,similarity,learning_rate,init_scale,seed,forgetting,forward_transfer,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,flr_after_t1,flr_after_t2,flr_w1_after_t1,flr_w2_after_t1,ntk_alignment_after_t1,ntk_alignment_after_t2,regime_after_t1,regime_after_t2,w1_change_t1,w2_change_t1,w1_change_t2,w2_change_t2,overparameterization,total_params
32,relu,0.0,0.001,0.5,0,0.04780799150466919,0.050666987895965576,0.3372364044189453,0.3850443959236145,0.5984702706336975,0.00020360946655273438,0.0005062222480773926,0.014441797509789467,0.08466102927923203,0.9999301433563232,0.9998220205307007,lazy,lazy,0.040321264415979385,0.10475153475999832,0.047371525317430496,0.15401028096675873,6.4,1760
32,relu,0.0,0.001,0.5,1,0.05430889129638672,-0.08684954047203064,0.5039308667182922,0.558239758014679,0.4495975077152252,0.0001958012580871582,0.0003172755241394043,0.015151718631386757,0.09841088950634003,0.9999518394470215,0.9999265074729919,lazy,lazy,0.04264251887798309,0.11422748863697052,0.038261812180280685,0.11878283321857452,6.4,1760
32,relu,0.0,0.001,0.5,2,-0.051757991313934326,0.06610849499702454,0.6026465892791748,0.5508885979652405,0.43275895714759827,0.0002257823944091797,0.0005118846893310547,0.015597520396113396,0.1448899656534195,0.9999391436576843,0.9998659491539001,lazy,lazy,0.04301105812191963,0.1565941572189331,0.03652793914079666,0.10068173706531525,6.4,1760
32,relu,0.0,0.001,1.0,0,-0.018928110599517822,0.6040635108947754,0.5883405208587646,0.5694124102592468,0.6996423602104187,0.0005587935447692871,0.0015142560005187988,0.023328116163611412,0.1297994703054428,0.99982088804245,0.9995251893997192,lazy,lazy,0.13026344776153564,0.3212031424045563,0.11535382270812988,0.3475872576236725,6.4,1760
32,relu,0.0,0.001,1.0,1,0.09816324710845947,-0.1245499849319458,0.7339304089546204,0.8320936560630798,0.6034966111183167,0.0003611445426940918,0.0008282661437988281,0.020621197298169136,0.11919483542442322,0.9999116659164429,0.9998105764389038,lazy,lazy,0.11607129126787186,0.2767036557197571,0.09497162699699402,0.23611219227313995,6.4,1760
32,relu,0.0,0.001,1.0,2,-0.06892651319503784,0.3703179955482483,0.7582449316978455,0.6893184185028076,0.5910328030586243,0.000361025333404541,0.0008715987205505371,0.019688259810209274,0.1608615666627884,0.9999068975448608,0.9997920393943787,lazy,lazy,0.1085830107331276,0.3477118909358978,0.08531120419502258,0.19894380867481232,6.4,1760
32,relu,0.0,0.001,2.0,0,-0.6668577194213867,12.030250310897827,3.1295666694641113,2.4627089500427246,2.1376452445983887,0.003063499927520752,0.006118834018707275,0.05617076903581619,0.2732769548892975,0.9991474151611328,0.9984210729598999,lazy,lazy,0.6273115277290344,1.3525080680847168,0.3471801280975342,0.5434347987174988,6.4,1760
32,relu,0.0,0.001,2.0,1,-0.687483549118042,3.278975486755371,3.181881904602051,2.494398355484009,2.2005674839019775,0.0018938779830932617,0.004583775997161865,0.047994453459978104,0.19974175095558167,0.9995594620704651,0.9989578723907471,lazy,lazy,0.5402963161468506,0.9273769855499268,0.34754905104637146,0.5266107320785522,6.4,1760
32,relu,0.0,0.001,2.0,2,-0.612546443939209,5.336546421051025,2.9371652603149414,2.3246188163757324,2.0825157165527344,0.0015947222709655762,0.003874361515045166,0.042105838656425476,0.23354163765907288,0.9996297359466553,0.9991645216941833,lazy,lazy,0.4644370675086975,1.009628415107727,0.2987295687198639,0.4751507639884949,6.4,1760
32,relu,0.0,0.01,0.5,0,0.26149941980838776,0.04507726430892944,0.2241683155298233,0.48566773533821106,0.30852049589157104,0.0117112398147583,0.024230897426605225,0.12004911154508591,0.46710342168807983,0.995844841003418,0.987852931022644,lazy,lazy,0.33517518639564514,0.5779495239257812,0.41363590955734253,0.8642930388450623,6.4,1760
