hidden_width,activation,similarity,learning_rate,init_scale,seed,forgetting,forward_transfer,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,flr_after_t1,flr_after_t2,regime_after_t1,regime_after_t2,subspace_dim,overparameterization,total_params,t1_initial_deviation,t1_final_deviation,t1_max_deviation,t1_min_deviation,t1_mean_deviation,t1_path_length,t1_path_integral_deviation,t1_area_under_curve,t1_max_velocity,t1_mean_velocity,t1_final_velocity,t1_max_acceleration,t1_mean_acceleration,t1_trajectory_curvature,t1_max_curvature,t1_max_momentum,t1_mean_momentum,t1_excursion_duration,t1_excursion_intensity,t1_return_to_baseline,t1_deviation_std,t1_deviation_range,t2_initial_deviation,t2_final_deviation,t2_max_deviation,t2_min_deviation,t2_mean_deviation,t2_path_length,t2_path_integral_deviation,t2_area_under_curve,t2_max_velocity,t2_mean_velocity,t2_final_velocity,t2_max_acceleration,t2_mean_acceleration,t2_trajectory_curvature,t2_max_curvature,t2_max_momentum,t2_mean_momentum,t2_excursion_duration,t2_excursion_intensity,t2_return_to_baseline,t2_deviation_std,t2_deviation_range,full_initial_deviation,full_final_deviation,full_max_deviation,full_min_deviation,full_mean_deviation,full_path_length,full_path_integral_deviation,full_area_under_curve,full_max_velocity,full_mean_velocity,full_final_velocity,full_max_acceleration,full_mean_acceleration,full_trajectory_curvature,full_max_curvature,full_max_momentum,full_mean_momentum,full_excursion_duration,full_excursion_intensity,full_return_to_baseline,full_deviation_std,full_deviation_range,t2_vs_t1_max_deviation_ratio,t2_vs_t1_path_integral_ratio,deviation_jump_at_transition
32,gelu,0.0,0.05,0.5,0,0.40777675807476044,0.3407629579305649,0.13199855387210846,0.5397753119468689,0.14576618373394012,0.12829619646072388,0.2362673282623291,rich,rich,1,6.4,1760,0.17213928276096505,0.20694504069274486,5.98694631093401,0.06489307603465534,0.5249849883853144,12.072613852116996,166.099774666032,0.5358057247291355,0.11671896205553571,0.019675143635595693,0.0012069979622492705,0.010587624048544974,0.00128078194531435,0.0012725498938119697,0.010578308092147458,0.2406042132735317,0.02479782999135057,0.1875,5.814807028173044,0.03480575793177981,1.0945761246152625,5.922053234899354,0.20694504069274486,20.253250054166685,305.00182287910803,0.20694504069274486,35.15391636270418,589.5434506633566,11146.95226059104,35.95791051803562,7.051256671880788,1.1965878739489537,-0.12928073311836918,0.5588918489203325,0.06990889311392787,0.007212912453521125,0.034280495157469774,960.0389950561865,117.65493354735855,0.21875,304.7948778384153,20.04630501347394,65.17626415668033,304.7948778384153,0.17213928276096505,20.253250054166685,305.00182287910803,0.06489307603465534,17.839450675544747,601.6160645154736,11315.121485663998,17.960510294704758,7.051256671880788,0.6081092114479214,-0.12928073311836918,0.5588918489203325,0.03559689566210563,0.0042447892642351985,0.034280495157469774,960.0389950561865,58.83986107947247,0.21875,304.8296835963471,20.08111077140572,49.23781549976397,304.9369298030734,50.94447269670453,67.10997822240829,0.0
32,gelu,0.0,0.05,0.5,1,0.556730791926384,0.3146701455116272,0.16027189791202545,0.7170026898384094,0.14379289746284485,0.23271536827087402,0.2918453812599182,rich,rich,1,6.4,1760,0.197914121879445,0.20708858263492105,4.426503624865939,0.057535985364458066,0.4774476017572403,8.998238466759206,150.75821903974514,0.4863168356120811,0.09545772830333125,0.017047607691403083,0.001259633098826049,0.007968677006441601,0.0010100123306468344,0.0010061984088703397,0.007954758087409836,0.1782116183496646,0.020463325568017443,0.1875,4.228589502986494,0.009174460755476066,0.875260116114424,4.368967639501481,0.20708858263492105,5.533018998907558,78.53026542306777,0.20708858263492105,10.478201769310964,151.32042326459305,3324.3240282717966,10.723625897650956,1.5828576435306434,0.27770793352006085,-0.00561887934525993,0.13983583632538338,0.01720492700255635,0.009682370852928345,0.11592992282528235,60.993581665455906,6.1473421126463785,0.21875,78.32317684043285,5.325930416272636,14.99762297995011,78.32317684043285,0.197914121879445,5.533018998907558,78.53026542306777,0.057535985364458066,5.477824685534102,160.31866173135228,3477.153133137891,5.519290687520462,1.5828576435306434,0.14735301793619665,-0.00561887934525993,0.13983583632538338,0.009111333115514056,0.005348147952396418,0.11592992282528235,60.993581665455906,3.0838976381964693,0.375,78.33235130118833,5.335104877028113,11.741003306351416,78.47272943770332,17.74092423197147,22.05069845905505,0.0
32,gelu,0.0,0.05,0.5,2,0.36405132710933685,0.2936156541109085,0.13951219618320465,0.5035635232925415,0.15804605185985565,0.21218746900558472,0.27261674404144287,rich,rich,1,6.4,1760,0.20408335851580994,0.25020780494488054,9.447648222497724,0.06381417031337946,0.6604395589406162,19.061246044069485,209.06920304369376,0.6744167840119154,0.17455385739879525,0.027073242367223582,0.0015225845871694372,0.01650980097327263,0.0019209023846292275,0.0018927413138169987,0.01649987005066296,0.3925432312802954,0.03831507414985738,0.1875,9.243564863981915,0.0461244464290706,1.6563575949536518,9.383834052184344,0.25020780494488054,42.47314723099874,373.7806036648584,0.25020780494488054,41.06453536889976,704.8378522937733,12927.034542868207,41.700111428607116,7.886077043269826,1.3658833433501267,-1.2266641165324708,0.6386805796214411,0.07805904975212555,0.005385375783619528,0.023322930026646725,1197.2382146677166,163.9805458692075,0.28125,373.53039585991354,42.22293942605386,78.3321605275443,373.53039585991354,0.20408335851580994,42.47314723099874,373.7806036648584,0.06381417031337946,20.86248746392019,723.8990983378427,13138.605823961347,20.854929879303725,7.886077043269826,0.6964648502896993,-1.2266641165324708,0.6386805796214411,0.03999106197349522,0.003640144438909544,0.023322930026646725,1197.2382146677166,82.00942709776874,0.171875,373.5765203063426,42.26906387248293,58.96997699043772,373.716789494545,39.56334897935941,61.83136662246892,0.0
32,gelu,0.0,0.05,0.5,3,0.40162111818790436,0.25961051881313324,0.15910367667675018,0.5607247948646545,0.15745426714420319,0.18198490142822266,0.261735737323761,rich,rich,1,6.4,1760,0.17816414656479537,0.2659066241616966,6.218107924915342,0.06711959672606213,0.5472850423478601,12.586250179727388,172.9108596976828,0.5577769667667187,0.11710647176123987,0.02015830762002891,0.001600726208815284,0.010945558982924316,0.0013225823147310191,0.001313552945057145,0.010939796108730195,0.24683016839178212,0.024931960844756483,0.21875,6.039943778350547,0.08774247759690121,1.1242545615021662,6.15098832818928,0.2659066241616966,5.9693037053480476,215.96561087961211,0.2659066241616966,15.399060225381755,425.6960114297145,4896.5232204746135,15.795236195079399,3.8118808751191806,0.5470727361549564,-0.005685454963269087,0.3751207302330398,0.04211603323702766,0.018673708736359325,0.3751012512581987,153.2464448882181,13.503463350836844,0.15625,215.69970425545043,5.703397081186351,37.07013383213731,215.69970425545043,0.17816414656479537,5.9693037053480476,215.96561087961211,0.06711959672606213,7.973172633864808,438.2822616094419,5072.093146413914,8.050941502244308,3.8118808751191806,0.28359057521829334,-0.005685454963269087,0.3751207302330398,0.02172314685628822,0.00999746977802771,0.3751012512581987,153.2464448882181,6.764191062552911,0.1875,215.78744673304732,5.791139558783252,27.255700171664273,215.89849128288606,34.731724422277416,28.318193715726466,0.0
32,gelu,0.0,0.05,0.5,4,0.3467414379119873,0.43476052582263947,0.14745840430259705,0.49419984221458435,0.14374814927577972,0.1874316930770874,0.27263450622558594,rich,rich,1,6.4,1760,0.18750167241097604,0.20880683667268563,4.356720171552857,0.05855077163872463,0.46392248495245947,8.847259984646774,146.47365263936877,0.4724956536753831,0.09026402576094,0.016545488553963865,0.0012580336938093073,0.00793046846117558,0.0010043690245318745,0.0010005732577493824,0.007922137163767565,0.18001938469397843,0.018976953290315755,0.21875,4.1692184991418815,0.021305164261709586,0.8539872097432883,4.298169399914133,0.20880683667268563,9.058108872137483,9.058108872137483,0.20880683667268563,3.8328971927707363,8.849302035464797,1180.1925231425846,3.80707265529866,0.04284470459550098,0.027560491168780815,0.028682460952341948,0.0007081121821579516,0.00018113240965923348,0.00018091816993351807,0.000706763493098963,0.3491670525094519,0.12704840932562134,0.46875,8.849302035464797,8.849302035464797,2.676154050317918,8.849302035464797,0.18750167241097604,9.058108872137483,9.058108872137483,0.05855077163872463,2.148409838861598,17.69656202011157,1328.7542441486803,2.109133720870921,0.09026402576094,0.0220414861403834,0.028682460952341948,0.00793046846117558,0.0005927785741320906,0.0005907735714960156,0.007922137163767565,0.3491670525094519,0.07301026000440297,0.359375,8.870607199726507,8.870607199726507,2.6044279550793634,8.999558100498758,2.0791119271497776,8.057370741258966,0.0
32,gelu,0.0,0.05,1.0,0,0.4199429601430893,1.039724424481392,0.1511128693819046,0.5710558295249939,0.16623727977275848,0.0535581111907959,0.08394330739974976,lazy,lazy,1,6.4,1760,0.2522745095266001,0.25950124424971094,8.961359212120943,0.1102884554070138,0.7339420144794343,17.956429748133175,232.3025658645374,0.7493631156920562,0.16728963519606171,0.02681181811084602,0.0008242588985891113,0.015629712849802656,0.0018383900564700709,0.001813532068800926,0.01561508511442848,0.43176002949647135,0.0435176119013444,0.1875,8.709084702594343,0.007226734723110861,1.5858774569189926,8.851070756713929,0.25950124424971094,4.683656332078346,4.683656332078346,0.2535995478089936,2.613895534370969,4.43595848071007,811.7307831170696,2.6184863971518375,0.021635246855565775,0.013855134218930183,0.006117518571043412,0.0006253830133263918,0.00011491387327057593,0.00011488126341684216,0.0006252747240725791,0.053924529463553,0.03405469164100037,0.5,4.424155087828635,4.424155087828635,1.3486063618978748,4.430056784269353,0.2522745095266001,4.683656332078346,8.961359212120943,0.1102884554070138,1.6739187744252013,22.392388228843252,1046.6283614241042,1.66131485940334,0.16728963519606171,0.020305910038478814,0.006117518571043412,0.015629712849802656,0.0009799161633685352,0.0009674707983488767,0.01561508511442848,0.43176002949647135,0.03877898795233377,0.40625,8.709084702594343,4.431381822551746,1.7465478874327434,8.851070756713929,0.5226502164639342,3.494282467762602,0.0
32,gelu,0.0,0.05,1.0,1,0.5979350805282593,0.6193305850028992,0.17781752347946167,0.775752604007721,0.16841983795166016,0.07858550548553467,0.10255342721939087,lazy,rich,1,6.4,1760,0.2619682832705264,0.2701012249886381,18.581392103232208,0.10758500960234202,1.0283006042806386,37.251267063211024,326.3958458285085,1.0528898252532533,0.33145460335758625,0.04607721036328939,0.0010625058572003242,0.03222898781591661,0.0035961015827028365,0.0034172721294408502,0.032214676471874724,0.8587494561205233,0.08070297595052331,0.125,18.31942381996168,0.008132941718111686,3.2033016015592355,18.473807093629866,0.2701012249886381,9.793815659444473,9.793815659444473,0.2701012249886381,4.5988363449064,9.523714434455833,1421.3080459478824,4.584864664348008,0.041974882998969634,0.029761897514544167,0.02480298807165262,0.0008693123423470187,0.00021330252650021648,0.00021303292786546425,0.0008688685391747615,0.357900847318731,0.14906143987717335,0.46875,9.523714434455835,9.523714434455835,2.8000998260265297,9.523714434455835,0.2619682832705264,9.793815659444473,18.581392103232208,0.10758500960234202,2.813568474593519,46.774981497666865,1750.404904026277,2.7784204825813923,0.33145460335758625,0.037884995704285385,0.02480298807165262,0.03222898781591661,0.0019133595429446245,0.0018238094889157725,0.032214676471874724,0.8587494561205233,0.11487296985437655,0.359375,18.31942381996168,9.531847376173946,3.4982897910127986,18.473807093629866,0.5270765293031057,4.354553111237254,0.0
32,gelu,0.0,0.05,1.0,2,0.3906259685754776,0.6818291693925858,0.15653030574321747,0.5471562743186951,0.17728589475154877,0.07872414588928223,0.10008454322814941,lazy,rich,1,6.4,1760,0.2933821512054751,0.26732051838554105,24.356832138953166,0.10277226791505736,1.2269325598152716,48.82564441751425,389.81490579293177,1.2574674380417155,0.4303132342762269,0.05799852694865437,0.0010117980665237613,0.04222910369224768,0.004661953703576119,0.004294699599709998,0.042214750864745576,1.1644224910847252,0.10684939889986203,0.125,24.063449987747692,0.026061632819934066,4.196166491344716,24.25405987103811,0.26732051838554105,4.995004639139179,4.995004639139179,0.26732051838554105,2.702827855846631,4.727684120753637,838.5932880832983,2.7051396389783813,0.019727056005238556,0.014766846949356205,0.009216558569896094,0.00053051264549987,9.399425397750952e-05,9.396744674997697e-05,0.0005304271069780454,0.06251380047565851,0.038633767605010756,0.5,4.727684120753637,4.727684120753637,1.4329025926863892,4.727684120753637,0.2933821512054751,4.995004639139179,24.356832138953166,0.10277226791505736,1.9648802078309515,53.55332853826787,1231.0813990600852,1.9540974588255322,0.4303132342762269,0.036364160699410696,0.009216558569896094,0.04222910369224768,0.002381668966945243,0.0021980284384592623,0.042214750864745576,1.1644224910847252,0.07273664235883504,0.375,24.063449987747692,4.701622487933704,3.221036830403787,24.25405987103811,0.2050761203518871,2.1512601894411416,0.0
32,gelu,0.0,0.05,1.0,3,0.4636821299791336,0.45553357899188995,0.17708145081996918,0.6407635807991028,0.17968253791332245,0.0703275203704834,0.09399312734603882,lazy,lazy,1,6.4,1760,0.2694778323595695,0.2697253237169337,9.72327496598316,0.09213049754403804,0.7629571785143231,19.543467186857264,241.45028134420087,0.7788718753038738,0.18520021382859198,0.028965298550910745,0.0010805817795254801,0.017028082576647823,0.0019982967743549865,0.001966620871247181,0.017004584367806663,0.4910920909379618,0.04965880822936616,0.1875,9.45379713362359,0.0002474913573641824,1.7195807513713188,9.631144468439121,0.2697253237169337,7.874234669597814,7.874234669597814,0.2697253237169337,4.0582320298407994,7.604509345880881,1257.9144495824823,4.057788547040266,0.0307799810126702,0.02372020785020079,0.014312872665530918,0.0008274209040504303,0.0001768910500275106,0.00017675930814551344,0.0008270146767634678,0.1967518598164801,0.0958883436209158,0.5,7.604509345880881,7.604509345880881,2.262931363124923,7.604509345880881,0.2694778323595695,7.874234669597814,9.72327496598316,0.09213049754403804,2.4105946041775614,27.147976532738145,1502.0619841638525,2.384225371688655,0.18520021382859198,0.026310348258995683,0.014312872665530918,0.017028082576647823,0.001096721660682746,0.0010808173002063277,0.017004584367806663,0.4910920909379618,0.07276494585282131,0.390625,9.45379713362359,7.604756837238244,2.5987722570084455,9.631144468439121,0.809833589717951,5.209828054781738,0.0
32,gelu,0.0,0.05,1.0,4,0.3424789607524872,1.0194395631551743,0.1707712709903717,0.5132502317428589,0.1696394830942154,0.06487637758255005,0.09665435552597046,lazy,lazy,1,6.4,1760,0.2865927188113293,0.2872932219750857,6.3768138065757975,0.1070735372826522,0.6887633093201077,12.860425172163968,217.53482927850234,0.7017252557371043,0.1295692175649677,0.02348004419824807,0.001139672999781066,0.011532643703267951,0.0014413793127432016,0.0014299098982049252,0.011509418686179074,0.37851673471345715,0.03919574756615377,0.21875,6.090221087764468,0.0007005031637564163,1.2329875422411196,6.269740269293146,0.2872932219750857,4.3816659130887095,4.3816659130887095,0.2872932219750857,2.4639522612440494,4.094372691113624,765.1199279227768,2.4681287997508927,0.018403429714149155,0.012808080530040653,0.007477593185711839,0.0004915465516832135,9.825686324361719e-05,9.823533699492008e-05,0.000491399189946978,0.04781341603342559,0.02977359380224281,0.53125,4.094372691113624,4.094372691113624,1.252928807620314,4.094372691113624,0.2865927188113293,4.3816659130887095,6.3768138065757975,0.1070735372826522,1.5763577852820785,16.954797863277598,985.52768942103,1.5643296657476666,0.1295692175649677,0.018127542583617554,0.007477593185711839,0.011532643703267951,0.000771105534334325,0.0007653600497715574,0.011509418686179074,0.37851673471345715,0.034479912247083896,0.40625,6.090221087764468,4.09507319427738,1.5273730362624367,6.269740269293146,0.6871246434232727,3.5172295418627813,0.0
