similarity,learning_rate,n_steps,seed,forgetting,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,mean_gradient_angle,min_gradient_angle,max_gradient_angle,std_gradient_angle,mean_gradient_projection,cumulative_interference,early_gradient_angle,late_gradient_angle
0.0,0.01,100,0,-0.20447486639022827,0.7035636901855469,0.4990888237953186,0.4926620125770569,0.33805501759052276,0.2994879484176636,0.38468942046165466,0.02768835498975123,0.3409200757741928,0.0,0.3516789525747299,0.35385599732398987
0.0,0.01,100,1,-0.2149052619934082,0.7613669633865356,0.5464617013931274,0.552139937877655,0.32338146567344667,0.28759101033210754,0.3779357969760895,0.029229842870202055,0.33710931837558744,0.0,0.3463267534971237,0.3060145527124405
0.0,0.01,100,2,-0.20801347494125366,0.7281311750411987,0.5201177000999451,0.5112530589103699,0.34255498349666597,0.29563793540000916,0.37224075198173523,0.027113037506758975,0.35884627401828767,0.0,0.3664191961288452,0.32839183509349823
0.0,0.01,100,3,-0.2357403039932251,0.7701771259307861,0.534436821937561,0.5425393581390381,0.33078975081443784,0.2987896800041199,0.359455943107605,0.022306765636135793,0.3439662128686905,0.0,0.3172163814306259,0.31971020996570587
0.0,0.01,100,4,-0.21192258596420288,0.727578341960907,0.5156557559967041,0.5039864778518677,0.3187020570039749,0.28110939264297485,0.38082897663116455,0.02671391659130627,0.31507001221179964,0.0,0.2935800701379776,0.32038284838199615
0.0,0.01,500,0,-0.025313399732112885,0.13993752002716064,0.11462412029504776,0.03634483367204666,0.01736273321788758,-0.17449833452701569,0.21570415794849396,0.11174209599046828,0.0445334267616272,0.489047903558156,0.1780047371983528,-0.11507577151060104
0.0,0.01,500,1,-0.03831382095813751,0.15460288524627686,0.11628906428813934,0.03887835144996643,0.032777218953706326,-0.12986767292022705,0.2614385485649109,0.10577338123830723,0.05830530937266303,0.3415976879554652,0.181175896525383,-0.09469542987644672
0.0,0.01,500,2,-0.02806515246629715,0.1465168595314026,0.11845170706510544,0.0373590923845768,0.021074812905862928,-0.17646941542625427,0.24667605757713318,0.10784505723862951,0.04926925177685917,0.42990103632462034,0.17858628779649735,-0.11296818107366562
0.0,0.01,500,3,-0.036102600395679474,0.1529163122177124,0.11681371182203293,0.03983088955283165,0.03686151124555181,-0.15736238658428192,0.26944172382354736,0.11750008061075175,0.06467316613037838,0.3854099173496829,0.20814442113041878,-0.10464303754270077
0.0,0.01,500,4,-0.0293307825922966,0.14618165791034698,0.11685087531805038,0.03693097084760666,0.02562500387430191,-0.16678424179553986,0.24300937354564667,0.11385383276065235,0.049787537949159744,0.4383976877416416,0.19210361018776895,-0.10440747737884522
0.0,0.01,1000,0,0.1337929219007492,0.01821775734424591,0.15201067924499512,0.0035258072894066572,-0.301548006827943,-0.40129610896110535,0.035931672900915146,0.09422249264390911,-0.20526216933503746,5.032988165279201,-0.14392840487416833,-0.35744235962629317
0.0,0.01,1000,1,0.13214093260467052,0.020252885296940804,0.15239381790161133,0.003551824949681759,-0.2947451211232692,-0.4217154383659363,0.07678249478340149,0.09559984139084421,-0.19657320452854038,4.879415355107065,-0.1322185552213341,-0.3636874794960022
0.0,0.01,1000,2,0.1325818933546543,0.019623514264822006,0.15220540761947632,0.0036193481646478176,-0.29957738373428583,-0.4027383029460907,0.06145624443888664,0.0958034570208726,-0.19938470736145975,4.987821863281209,-0.13582915533334017,-0.3594674035906792
0.0,0.01,1000,3,0.12968333065509796,0.02108702063560486,0.15077035129070282,0.003614775137975812,-0.289182330329204,-0.43311265110969543,0.01352213229984045,0.09687362664871788,-0.1865585024980828,4.701600850581392,-0.12662564793718048,-0.35587041825056076
0.0,0.01,1000,4,0.13316571526229382,0.02017042227089405,0.15333613753318787,0.0034995346795767546,-0.2959983474388719,-0.39724981784820557,0.05655664950609207,0.09856864216342237,-0.19361884880810976,4.903098571507285,-0.12753371316939593,-0.3523542761802673
0.0,0.05,100,0,-0.02526862919330597,0.14164045453071594,0.11637182533740997,0.03655893728137016,0.03502693998161703,-0.10280316323041916,0.23849643766880035,0.11882908379791138,0.06527751057874412,0.08161845487466396,0.2191518023610115,-0.09128274396061897
0.0,0.05,100,1,-0.03694000840187073,0.1542464792728424,0.11730647087097168,0.039348602294921875,0.04197742163669318,-0.09035585075616837,0.2591087520122528,0.10735763342163217,0.06845107888802886,0.06059321507746759,0.19752716273069382,-0.08998275175690651
0.0,0.05,100,2,-0.03438138961791992,0.15142318606376648,0.11704179644584656,0.03741239756345749,0.06484735049307347,-0.1025974452495575,0.25313401222229004,0.10958763714732057,0.08969245851039886,0.04668538394627619,0.22427517175674438,-0.10143151879310608
0.0,0.05,100,3,-0.039765968918800354,0.15630964934825897,0.11654368042945862,0.0384235642850399,0.037437247578054667,-0.1011899784207344,0.18864041566848755,0.11086900779866285,0.06873267749324441,0.08002473508766383,0.18651236593723297,-0.10091917961835861
0.0,0.05,100,4,-0.028188057243824005,0.1461828052997589,0.1179947480559349,0.0367608405649662,0.030080681294202806,-0.09205501526594162,0.19266122579574585,0.10267108687687157,0.05995755353942513,0.07648910757746141,0.15957775712013245,-0.08293883875012398
0.0,0.05,500,0,0.19562936044167145,4.900776912108995e-05,0.19567836821079254,9.088255865208339e-06,-0.37196132011711597,-0.44520333409309387,-0.05119219794869423,0.05192433074171313,-0.26367697906680404,1.6324709294313065,-0.34272882379591463,-0.3818905591964722
